study_id,site_id,title,species_guess,lat,lon,online
8492,Tekoa Mountain,Aughenbaugh - Tekoa Mountain - QURU - ITRDB MA016,,,,https://www.ncei.noaa.gov/access/paleo-search/study/8492
2666,Bjorbo,Axelson - Bjorbo - PCAB - ITRDB SWED312,,,,https://www.ncei.noaa.gov/access/paleo-search/study/2666
2667,Bjorbo,Axelson - Bjorbo - PISY - ITRDB SWED305,,,,https://www.ncei.noaa.gov/access/paleo-search/study/2667
31993,Central Oland,Axelson - Central Oland - QUSP - ITRDB SWED339,,,,https://www.ncei.noaa.gov/access/paleo-search/study/31993
31992,Finnakers bruk,Axelson - Finnakers bruk - PISY - ITRDB SWED338,Finnakers bruk,,,https://www.ncei.noaa.gov/access/paleo-search/study/31992
31834,Gastrikland coast,Axelson - Gastrikland coast - PISY - ITRDB SWED337,Gastrikland coast,,,https://www.ncei.noaa.gov/access/paleo-search/study/31834
31815,"Grangarde, Dalarna","Axelson - Grangarde, Dalarna - PISY - ITRDB SWED335",,,,https://www.ncei.noaa.gov/access/paleo-search/study/31815
34254,Klackbumyra,Axelson - Klackbumyra - PISY - ITRDB SWED346,,,,https://www.ncei.noaa.gov/access/paleo-search/study/34254
2668,"Lerbäck, Askersund","Axelson - Lerbäck, Askersund - PISY - ITRDB SWED307",,,,https://www.ncei.noaa.gov/access/paleo-search/study/2668
5498,"Rälla Tall, Högsrum sn, Öland","Axelson - Rälla Tall, Högsrum sn, Öland - PISY - ITRDB SWED313",,,,https://www.ncei.noaa.gov/access/paleo-search/study/5498
31816,"Safsnas, Dalarna","Axelson - Safsnas, Dalarna - PISY - ITRDB SWED336",,,,https://www.ncei.noaa.gov/access/paleo-search/study/31816
31813,Southern Trysil,Axelson - Southern Trysil area historical timber - PCAB - ITRDB NORW017,Trysil area,,,https://www.ncei.noaa.gov/access/paleo-search/study/31813
31814,Southern Trysil,Axelson - Southern Trysil area historical timber - PISY - ITRDB NORW018,Trysil area,,,https://www.ncei.noaa.gov/access/paleo-search/study/31814
26070,Mistletoe Canyon,"Azpeleta Tarancón fire data from Mistletoe Canyon, south central New Mexico - IMPD USMC-001",,,,https://www.ncei.noaa.gov/access/paleo-search/study/26070
26071,Potato Patch NM,"Azpeleta Tarancón fire data from Potato Patch NM, south central New Mexico - IMPD USPP-002",,,,https://www.ncei.noaa.gov/access/paleo-search/study/26071
26073,Snow Canyon,"Azpeleta Tarancón fire data from Snow Canyon, south central New Mexico - IMPD USSC-001",,,,https://www.ncei.noaa.gov/access/paleo-search/study/26073
26072,Solon,"Azpeleta Tarancón fire data from Solon, south central New Mexico - IMPD USS--001",,,,https://www.ncei.noaa.gov/access/paleo-search/study/26072
26074,Turkey Canyon,"Azpeleta Tarancón fire data from Turkey Canyon, south central New Mexico - IMPD USTC-002",,,,https://www.ncei.noaa.gov/access/paleo-search/study/26074
26075,Turkey Pen,"Azpeleta Tarancón fire data from Turkey Pen, south central New Mexico - IMPD USTP-001",,,,https://www.ncei.noaa.gov/access/paleo-search/study/26075
26077,Turkey Spring,"Azpeleta Tarancón fire data from Turkey Spring, south central New Mexico - IMPD USTS-001",,,,https://www.ncei.noaa.gov/access/paleo-search/study/26077
26079,Turkey Track,"Azpeleta Tarancón fire data from Turkey Track, south central New Mexico - IMPD USTT-001",,,,https://www.ncei.noaa.gov/access/paleo-search/study/26079
35554,Berenzhak,Babushkina - Berenzhak - PISY - ITRDB RUSS300,,,,https://www.ncei.noaa.gov/access/paleo-search/study/35554
35580,Bidja,Babushkina - Bidja - PISY - ITRDB RUSS302,,,,https://www.ncei.noaa.gov/access/paleo-search/study/35580
35579,Bograd,Babushkina - Bograd - PISY - ITRDB RUSS301,,,,https://www.ncei.noaa.gov/access/paleo-search/study/35579
35577,Kazanovka,Babushkina - Kazanovka - PISY - ITRDB RUSS305,,,,https://www.ncei.noaa.gov/access/paleo-search/study/35577
35573,Malaya Minusa,Babushkina - Malaya Minusa - PISY - ITRDB RUSS307,,,,https://www.ncei.noaa.gov/access/paleo-search/study/35573
35574,Malaya Nichka,Babushkina - Malaya Nichka - PISY - ITRDB RUSS308,,,,https://www.ncei.noaa.gov/access/paleo-search/study/35574
35597,Zelyony Shum,Babushkina - Zelyony Shum - PISY - ITRDB RUSS314,,,,https://www.ncei.noaa.gov/access/paleo-search/study/35597
